1,40719650000,40719669000,00000019000,7ef,local_timer_vector
1,40719724600,40719731400,00000006800,a02,open
1,40719736800,40719754700,00000017900,a01,write
1,40719755900,40719762100,00000006200,a01,write
1,40716460700,40720268400,00003807700,a17,select
1,40720270700,40720360200,00000089500,a00,read
1,40720283900,40720451300,00000167400,a17,select
1,40720468300,40723304800,00002836500,a17,select
1,40723307200,40723395900,00000088700,a00,read
1,40723319400,40723489300,00000169900,a17,select
1,40723506500,40729252800,00005746300,a17,select
1,40729258600,40729359300,00000100700,a00,read
1,40729430300,40729503700,00000073400,a38,clone
1,40729820900,40729821000,00000000100,a0c,brk
1,40729829200,40729832000,00000002800,a15,access
1,40729832700,40729833500,00000000800,a09,mmap
1,40729838000,40729838900,00000000900,a15,access
1,40729845500,40729846400,00000000900,a09,mmap
1,40729850000,40729850500,00000000500,a15,access
1,40729855700,40729856700,00000001000,a00,read
1,40729857900,40729860300,00000002400,a09,mmap
1,40729864700,40729868700,00000004000,a09,mmap
1,40729870900,40729872300,00000001400,a09,mmap
1,40729878700,40729879300,00000000600,a15,access
1,40729883200,40729884100,00000000900,a00,read
1,40729885100,40729887100,00000002000,a09,mmap
1,40729890900,40729893700,00000002800,a09,mmap
1,40729895800,40729896900,00000001100,a09,mmap
1,40729910000,40729910700,00000000700,a09,mmap
1,40729913000,40729913800,00000000800,a09,mmap
1,40729914800,40729915100,00000000300,a09,mmap
1,40729988800,40729989100,00000000300,ada,set_tid_address
1,40730042100,40730042200,00000000100,a0c,brk
1,40730047100,40730047800,00000000700,a09,mmap
1,40730053000,40730061000,00000008000,a38,clone
1,40730061300,40730062100,00000000800,a09,mmap
1,40730065900,40730068800,00000002900,a38,clone
1,40729278900,40730081800,00000802900,a17,select
1,40730084200,40730173000,00000088800,a00,read
1,40730096400,40730268000,00000171600,a17,select
1,40741628900,40741671700,00000042800,a00,read
1,40741688400,40741706000,00000017600,a00,read
1,40741711400,40741711600,00000000200,a00,read
1,40741718100,40741721800,00000003700,a02,open
1,40730285100,40745206300,00014921200,a17,select
1,40745208700,40745297200,00000088500,a00,read
1,40745221000,40745392300,00000171300,a17,select
1,40745409400,40746107700,00000698300,a17,select
1,40746110100,40746199200,00000089100,a00,read
1,40746122300,40746290900,00000168600,a17,select
1,40746122300,40746298500,00000176200,a17,select
1,40746300900,40746394500,00000093600,a00,read
1,40746317900,40746488400,00000170500,a17,select
1,40751919600,40752100800,00000181200,a17,select
1,40764473700,40764630400,00000156700,a17,select
1,40764640000,40766823000,00002183000,a17,select
1,40766825300,40766914100,00000088800,a00,read
1,40766837500,40767006000,00000168500,a17,select
1,40767023100,40769421900,00002398800,a17,select
1,40769424200,40769513000,00000088800,a00,read
1,40769436500,40769606700,00000170200,a17,select
1,40769748400,40769749500,00000001100,a00,read
1,40770070400,40770074100,00000003700,a2f,recvmsg
1,40770097700,40770097800,00000000100,a2f,recvmsg
1,40770119200,40770123800,00000004600,a2e,sendmsg
1,40770462400,40770463600,00000001200,a2f,recvmsg
1,40770824600,40770831600,00000007000,a14,writev
1,40770832800,40770922200,00000089400,a07,poll
1,40770928200,40771022400,00000094200,a07,poll
1,40771026300,40771042100,00000015800,a07,poll
1,40771046500,40771046800,00000000300,a2f,recvmsg
1,40771060900,40771061800,00000000900,a00,read
1,40771073300,40771073700,00000000400,a2f,recvmsg
1,40771074800,40771075000,00000000200,a2f,recvmsg
1,40769623800,40772645600,00003021800,a17,select
1,40772647900,40772736800,00000088900,a00,read
1,40772660400,40772830800,00000170400,a17,select
1,40772848100,40783439800,00010591700,a17,select
1,40783442100,40783531300,00000089200,a00,read
1,40783454400,40783625700,00000171300,a17,select
1,40783642800,40784015900,00000373100,a17,select
1,40784018400,40784108100,00000089700,a00,read
1,40784031600,40784201800,00000170200,a17,select
1,40784219000,40784538900,00000319900,a17,select
1,40784541300,40784630300,00000089000,a00,read
1,40784672600,40784674700,00000002100,a04,stat
1,40784675300,40784676100,00000000800,a04,stat
1,40784676400,40784677200,00000000800,a04,stat
1,40784677500,40784678500,00000001000,a04,stat
1,40784678800,40784679500,00000000700,a04,stat
1,40784682200,40784682400,00000000200,a6b,geteuid
1,40784682500,40784682500,00000000000,a6c,getegid
1,40784682600,40784682800,00000000200,a66,getuid
1,40784682900,40784683000,00000000100,a68,getgid
1,40784685400,40784685400,00000000000,a6b,geteuid
1,40784685400,40784685500,00000000100,a6c,getegid
1,40784685500,40784685600,00000000100,a66,getuid
1,40784685600,40784685700,00000000100,a68,getgid
1,40784685400,40784687400,00000002000,a6b,geteuid
1,40784687500,40784687500,00000000000,a6c,getegid
1,40784687600,40784687600,00000000000,a66,getuid
1,40784687700,40784687700,00000000000,a68,getgid
1,40784688600,40784688700,00000000100,a6b,geteuid
1,40784687600,40784688800,00000001200,a66,getuid
1,40784688700,40784688800,00000000100,a6c,getegid
1,40784687700,40784688900,00000001200,a68,getgid
1,40784697000,40784767400,00000070400,a38,clone
1,40784552700,40784824200,00000271500,a17,select
1,40784842400,40785541600,00000699200,a17,select
1,40785545300,40785547000,00000001700,a00,read
1,40785557100,40785567100,00000010000,a01,write
1,40784818700,40785637000,00000818300,a3d,wait4
1,40785669900,40785670100,00000000200,a3d,wait4
1,40785567800,40785855000,00000287200,a17,select
1,40785872200,40786114500,00000242300,a17,select
1,40786116700,40786205300,00000088600,a00,read
1,40786129100,40786296900,00000167800,a17,select
1,40786314100,40787174800,00000860700,a17,select
1,40787177100,40787266600,00000089500,a00,read
1,40787288500,40787291800,00000003300,a0c,brk
1,40787304400,40787311700,00000007300,a4e,getdents
1,40787319400,40787319600,00000000200,a6b,geteuid
1,40787319700,40787319700,00000000000,a6c,getegid
1,40787319800,40787320000,00000000200,a66,getuid
1,40787320100,40787320200,00000000100,a68,getgid
1,40787322400,40787322400,00000000000,a6b,geteuid
1,40787319700,40787322500,00000002800,a6c,getegid
1,40787322600,40787322600,00000000000,a66,getuid
1,40787320100,40787322700,00000002600,a68,getgid
1,40787322400,40787327100,00000004700,a6b,geteuid
1,40787327200,40787327200,00000000000,a6c,getegid
1,40787327300,40787327300,00000000000,a66,getuid
1,40787327400,40787327400,00000000000,a68,getgid
1,40787327100,40787328400,00000001300,a6b,geteuid
1,40787327200,40787328500,00000001300,a6c,getegid
1,40787327300,40787328600,00000001300,a66,getuid
1,40787327400,40787328700,00000001300,a68,getgid
1,40787330100,40787339600,00000009500,a0c,brk
1,40787189400,40787375000,00000185600,a17,select
1,40787391900,40792842700,00005450800,a17,select
1,40792846700,40792940400,00000093700,a00,read
1,40792861600,40793039400,00000177800,a17,select
1,40793057500,40798625200,00005567700,a17,select
1,40798627500,40798716300,00000088800,a00,read
1,40798639700,40798810500,00000170800,a17,select
1,40805993900,40806036700,00000042800,a00,read
1,40806053300,40806071100,00000017800,a00,read
1,40806075700,40806076000,00000000300,a00,read
1,40806082500,40806086400,00000003900,a02,open
1,40798831400,40808386700,00009555300,a17,select
1,40808389000,40808478200,00000089200,a00,read
1,40808401300,40808571700,00000170400,a17,select
1,40808589000,40811166000,00002577000,a17,select
1,40811168300,40811256800,00000088500,a00,read
1,40811180700,40811351200,00000170500,a17,select
1,40811368300,40813254300,00001886000,a17,select
1,40813256500,40813345400,00000088900,a00,read
1,40813268900,40813403700,00000134800,a17,select
1,40813418300,40813438700,00000020400,a17,select
1,40813441000,40813495900,00000054900,a00,read
1,40813512000,40813514200,00000002200,a0c,brk
